title,link,category
頭條,https://news.cnyes.com/news/cat/headline,cat
台股,https://news.cnyes.com/news/cat/tw_stock,cat
美股,https://news.cnyes.com/news/cat/wd_stock,cat
陸港,https://news.cnyes.com/news/cat/cn_stock,cat
基金,https://news.cnyes.com/news/cat/fund,cat
期匯,https://news.cnyes.com/news/cat/future,cat
鏈文,https://news.cnyes.com/news/cat/bc,cat
時事,https://news.cnyes.com/poptopic,
影音,https://www.cnyes.com/video?utm_source=cnyes&utm_medium=header&utm_campaign=news,
07/26〈財報前瞻〉華爾街估蘋果Q3營收略降 關稅、歐盟成關鍵字,https://news.cnyes.com/news/id/6077607,id
"07/26產量遠不如目標？馬斯克說好年底前生產5,000台 目前只產幾百台機器人",https://news.cnyes.com/news/id/6077754,id
07/26特斯拉黯淡展望不變 加州包車服務擬上路 限員工親友搭乘,https://news.cnyes.com/news/id/6077646,id
07/26特斯拉：收到多項關於投資xAI股東提案,https://news.cnyes.com/news/id/6077665,id
07/2657億美元到手 貝佐斯大筆出售亞馬遜持股告一段落,https://news.cnyes.com/news/id/6077663,id
07/26〈熱門股〉美琪瑪擁電池材料題材周漲22% 創19個月來新高,https://news.cnyes.com/news/id/6077715,id
07/26英特爾晶圓代工前景堪憂 台積電喜、ASML憂,https://news.cnyes.com/news/id/6077645,id
07/26美3大穩定幣法案重點一次看！台灣版專法將面世 發展虛擬資產更有「底氣」,https://news.cnyes.com/news/id/6077728,id
07/26〈熱門股〉健鼎Q3營運量能維持高檔獲外資力挺周漲9.07%,https://news.cnyes.com/news/id/6077656,id
ESG,http://campaign.cnyes.com/topics/ESG/index.html,
專題,https://news.cnyes.com/projects/cat/all,
新視界,https://news.cnyes.com/news/cat/celebrity_area,cat
雜誌,https://news.cnyes.com/news/cat/mag,cat
愛心,https://campaign.cnyes.com/topics/love/,
影音,https://www.cnyes.com/video,
台股,https://www.cnyes.com/twstock,
台指期,http://www.cnyes.com/twfutures/index.htm,
興櫃,https://www.cnyes.com/presh/index.htm,
未上市,https://www.cnyes.com http://www.cnyes.com/pre/index.htm,
股市Talk,https://stock.cnyes.com/,
買股票,http://campaign.cnyes.com/topics/sinopacsectmenu/,
訂閱,https://www.cnyes.com/anuestore,
鉅亨號,https://hao.cnyes.com/?utm_source=cnyes&utm_medium=home&utm_campaign=text,
鉅亨App,https://www.cnyes.com/mobile/index_app.htm,
FB,https://www.facebook.com/anuetw/,
LINE,https://campaign.cnyes.com/topics/anuesns/,
YT直播,https://www.youtube.com/channel/UCHzw1et1X2fdz1VsXLO8nlw,
美股,https://www.cnyes.com/usstock,
陸港股,https://www.cnyes.com/hkstock,
指數,https://invest.cnyes.com/indices/major,
商品期貨,https://www.cnyes.com/futures/index.htm,
StockQ,https://www.cnyes.com/stockQ,
ChartQ,https://www.cnyes.com/stockQ/chartQ,
ETF,https://www.cnyes.com/etf,
外匯,https://www.cnyes.com/forex,
路透即時,https://www.cnyes.com/forex/reuters,
債券,https://www.cnyes.com/bond/,
黃金,https://www.cnyes.com/gold/index.htm,
指標,http://www.cnyes.com/economy/indicator/Page/schedule.aspx,
行事曆,https://www.cnyes.com/economy/indicator/EconomicsCalendar/Calendar.aspx,
理財,https://www.cnyes.com/money/index.htm,
換匯,https://www.cnyes.com/money/BankMoneyExchange/Currency/USD.aspx,
基金,https://fund.cnyes.com/,
搜尋,https://fund.cnyes.com/search/,
虛擬幣,https://crypto.cnyes.com/,
買幣,https://campaign.cnyes.com/topics/anuecrypto/,
鉅樂部,https://events.cnyes.com/YesClub-24748,
馬國房產,https://supr.link/YXk7H,
財富傳承,https://supr.link/IKIVW,
基金,https://fund.cnyes.com,
鉅亨號,https://hao.cnyes.com?utm_source=cnyes&utm_medium=home&utm_campaign=title,
投顧分析師,https://campaign.cnyes.com/topics/analyst/,
排行榜,https://www.cnyes.com/stockQ/rank,
投資虛擬貨幣 一次就上手,https://campaign.cnyes.com/topics/anuecrypto/?utm_source=cnyes&utm_medium=iframe,
全球首創超商點數換幣App內建冷錢包保障資產20%OFF新戶交易手續費折扣,https://supr.link/sgSFe,
零經驗好上手合法有保障共同選擇真人客服台幣交易價值$200台幣發財金新戶專屬任務獎勵USDT,https://supr.link/2AtU5,
全球最大的量化交易所合約刷網格、現貨策略跟單超過13種交易機器人,https://supr.link/muVDP,
十年用戶資產0丟失低保證金要求 強清算系統價值$5000美元新戶任務獎勵,https://supr.link/WL7Fy,
市場總覽,https://www.cnyes.com/usstock/marketsummary,
漲跌排行,https://www.cnyes.com/usstock/marketmovers,
類股表現,https://www.cnyes.com/usstock/sectorperformance,
美股新聞,https://www.cnyes.com/usstock/litenews,
看更多,https://www.anuesec.com/zh-HK/Page/dt-model/?utm_source=cnyes,
頭條,https://news.cnyes.com/news/cat/headline_ai,cat
台股,https://news.cnyes.com/news/cat/tw_stock_ai,cat
美股,https://news.cnyes.com/news/cat/wd_stock_ai,cat
看更多,https://www.cnyes.com/events,
看更多,https://news.cnyes.com/news/cat/stock_report,cat
看更多,https://crypto.cnyes.com,
鉅亨網新推出自媒體平台，自己當總編輯，經營自己的粉絲，打響自己的名「號」！,https://hao.cnyes.com/,
您的建議是鉅亨進步動力！,https://docs.google.com/forms/d/1QvhPSjjG-vrxPUvpzGd2uYmFiIs1cMu1luFAwSonm6U/viewform?usp=pp_url&entry.1831304503=,
全球休市市場,https://www.cnyes.com/economy/holiday,
詳細聲明,http://www.cnyes.com/cnyes_about/cnyes_sos03.html,
主編精選,https://news.cnyes.com/news/cat/news24h,cat
議題,https://news.cnyes.com/news/cat/topTopics,cat
宏觀,https://news.cnyes.com/news/cat/newsMarco,cat
總覽,https://news.cnyes.com/news/cat/all,cat
台股新聞,https://news.cnyes.com/news/cat/tw_stock_news,cat
台灣政經,https://news.cnyes.com/news/cat/tw_macro,cat
台股盤勢,https://news.cnyes.com/news/cat/tw_quo,cat
投資工具,https://news.cnyes.com/news/cat/stock_tutorial,cat
台股公告,https://news.cnyes.com/news/cat/tw_bull,cat
興櫃公告,https://news.cnyes.com/news/cat/eme_bull,cat
台股表格,https://news.cnyes.com/news/cat/tw_calc,cat
ETF,https://news.cnyes.com/news/cat/etf,cat
美股雷達,https://news.cnyes.com/news/cat/us_stock,cat
國際政經,https://news.cnyes.com/news/cat/wd_macro,cat
歐亞股,https://news.cnyes.com/news/cat/eu_asia_stock,cat
科技,https://news.cnyes.com/news/cat/tech,cat
港股,https://news.cnyes.com/news/cat/hk_stock,cat
A股,https://news.cnyes.com/news/cat/sh_stock,cat
大行報告,https://news.cnyes.com/news/cat/hk_report,cat
新股上市,https://news.cnyes.com/news/cat/hk_ipo,cat
權證,https://news.cnyes.com/news/cat/hk_warrant,cat
香港政經,https://news.cnyes.com/news/cat/hk_macro,cat
大陸政經,https://news.cnyes.com/news/cat/cn_macro,cat
鉅亨速報,https://news.cnyes.com/news/cat/anue_live,cat
台股盤前,https://news.cnyes.com/news/cat/tw_premarket,cat
台股盤中,https://news.cnyes.com/news/cat/tw_live,cat
台股盤後,https://news.cnyes.com/news/cat/tw_afterhours,cat
台股預估,https://news.cnyes.com/news/cat/tw_forecast,cat
美股盤中,https://news.cnyes.com/news/cat/us_live,cat
美股預估,https://news.cnyes.com/news/cat/us_forecast,cat
虛擬貨幣,https://news.cnyes.com/news/cat/crypto_live,cat
外匯盤中,https://news.cnyes.com/news/cat/forex_live,cat
營收速報,https://news.cnyes.com/news/cat/tw_revenue,cat
理財,https://news.cnyes.com/news/cat/tw_money,cat
銀行,https://news.cnyes.com/news/cat/bank,cat
保險,https://news.cnyes.com/news/cat/tw_insurance,cat
消費,https://news.cnyes.com/news/cat/spending,cat
其他,https://news.cnyes.com/news/cat/financial,cat
外匯,https://news.cnyes.com/news/cat/forex,cat
指數,https://news.cnyes.com/news/cat/index_futures,cat
股票,https://news.cnyes.com/news/cat/stock_futures,cat
能源,https://news.cnyes.com/news/cat/energy,cat
債券,https://news.cnyes.com/news/cat/futu_bond,cat
農作,https://news.cnyes.com/news/cat/futu_produce,cat
黃金,https://news.cnyes.com/news/cat/precious_metals,cat
幣圈,https://news.cnyes.com/news/cat/bc_crypto,cat
鏈文,https://news.cnyes.com/news/cat/bc_news,cat
新手村,https://news.cnyes.com/news/cat/bc_tutorial,cat
快訊,https://news.cnyes.com/news/cat/bc_live,cat
房產,https://news.cnyes.com/news/cat/cnyeshouse,cat
大陸房市,https://news.cnyes.com/news/cat/cn_housenews,cat
香港房市,https://news.cnyes.com/news/cat/hk_housenews,cat
台灣房市,https://news.cnyes.com/news/cat/tw_housenews,cat
海外房市,https://news.cnyes.com/news/cat/wd_housenews,cat
新聞,http://news.cnyes.com/news/cat/tw_stock_news,cat
研究報告,https://news.cnyes.com/news/cat/tw_report,cat
